objectid,state,location,title,latitude,longitude,status,display_template,object_location,notes
bagley,Mississippi,Lafayette,Bagley ,34°30'14''N,89°26'16''W,Removed,record,,
banner,Mississippi,Calhoun,Banner ,34°07'06''N,89°23'06''W,Removed,record,,
batesville,Mississippi,Panola,Batesville,34°18'34''N,89°54'41''W,Removed,record,,
baxter,Mississippi,Jasper,Baxter ,32°11'41''N,89°10'25''W,Removed,record,,
beaumont,Mississippi,Perry,Beaumont ,31°08'02''N,88°55'00''W,Removed,record,,
belzoni,Mississippi,Humphreys,Belzoni ,33°08'21''N,90°31'00''W,Removed,record,,
benndale,Mississippi,George,Benndale ,30°52'13''N,88°48'33''W,Removed,record,,
benndale,Mississippi,George,Benndale ,30°53'37''N,88°50'06''W,Removed,record,,
benton,Mississippi,Benton,Benton ,34°57'08''N,89°01'57''W,Removed,record,,
betheden,Mississippi,Winston,Betheden ,33°13'20''N,88°56'29''W,Removed,record,,
big-creek,Mississippi,Wayne,Big Creek,31°36'00''N,88°45'35''W,Removed,record,,
bilbo,Mississippi,Pearl River,Bilbo ,30°46'01''N,89°29'50''W,Removed,record,,
blue-hill,Mississippi,Prentiss,Blue Hill ,34°42'17''N,88°22'55''W,Removed,record,,
brody,Mississippi,Benton,Brody ,34°55'40''N,89°04'53''W,Removed,record,,
brownsville,Mississippi,Hinds,Brownsville ,32°27'55''N,90°24'22''W,Removed,record,,
buck-branch,Mississippi,Pearl River,Buck Branch ,30°47'48''N,89°44'10''W,Removed,record,,
buckley,Mississippi,Simpson,Buckley,31°46'26''N,90°01'00''W,Removed,record,,
bude,Mississippi,Franklin,Bude ,31°24'35''N,90°50'48''W,Removed,record,,
camp-shelby,Mississippi,Forrest,Camp Shelby ,31°11'13''N,89°14'36''W,Removed,record,,
caron-s-thornton,Mississippi,Jasper,Caron S. Thornton ,31°57'14''N,89°16'05''W,Removed,record,,
carrollton,Mississippi,Carroll,Carrollton ,33°29'18''N,89°55'25''W,Removed,record,,
carthage,Mississippi,Leake,Carthage ,32°41'07''N,89°30'35''W,Removed,record,,
cato,Mississippi,Rankin,Cato ,32°03'54''N,89°54'58''W,Removed,record,,
choctaw,Mississippi,Choctaw,Choctaw ,33°23'24''N,89°10'18''W,Removed,record,,
choctaw-lake,Mississippi,Choctaw,Choctaw Lake ,33°16'50''N,89°08'21''W,Removed,record,,
clem,Mississippi,Jefferson Davis,Clem ,31°44'37''N,89°50'09''W,Removed,record,,
coffeeville,Mississippi,Yalobusha,Coffeeville,34°00'06''N,89°47'43''W,Removed,record,,
coldwater,Mississippi,Tate,Coldwater,34°40'04''N,89°56'39''W,Removed,record,,
columbia,Mississippi,Marion,Columbia ,31°12'24''N,89°55'16''W,Removed,record,,
columbus,Mississippi,Lowndes,Columbus,33°33'53''N,88°26'05''W,Removed,record,,
coursey,Mississippi,Smith,Coursey ,32°06'16''N,89°37'50''W,Removed,record,,
covington,Mississippi,Covington,Covington ,31°37'59''N,89°34'57''W,Removed,record,,
