objectid,state,county,title,latitude,longitude,status,display_template,object_location,notes
center-union,Mississippi,Union,Center (Union),34.495,-88.89416667,Standing,record,https://flic.kr/s/aHBqjzBr6B,
crenshaw,Mississippi,Panola,Crenshaw ,34.53027778,-90.18694444,Standing,record,https://flic.kr/s/aHBqjzC5pi,
gauley,Mississippi,Calhoun,Gauley,33.90333333,-89.375,Standing,record,https://flic.kr/s/aHBqjzBigA,
glen,Mississippi,Alcorn,Glen ,34.88722222,-88.43972222,Standing,record,https://flic.kr/s/aHBqjzBpUY,
glenville,Mississippi,Panola,Glenville,34.51527778,-89.77,Standing,record,https://flic.kr/s/aHBqjzC5sP,
hopewell,Mississippi,Itawamba,Hopewell ,34.15777778,-88.24944444,Standing,record,https://flic.kr/s/aHBqjzBr4c,
kincaid,Mississippi,Grenada,Kincaid ,33.75027778,-89.69444444,Standing,record,https://flic.kr/s/aHBqjzBhds,
red-banks-mahon,Mississippi,Marshall,Red Banks / Mahon ,34.81555556,-89.52944444,Standing,record,https://flic.kr/s/aHBqjzBq9t,
reid,Mississippi,Calhoun,Reid ,33.9925,-89.19194444,Standing,record,https://flic.kr/s/aHBqjzBhHs,
sandy-mountain,Mississippi,Calhoun,Sandy Mountain ,33.74583333,-89.39222222,Standing,record,https://flic.kr/s/aHBqjzBhNU,
tunica,Mississippi,Tunica,Tunica,34.64166667,-90.38027778,Standing,record,https://flic.kr/s/aHBqjzBrdF,
webster,Mississippi,Webster,Webster ,33.66583333,-89.18527778,Standing,record,https://flic.kr/s/aHBqjzBhJ4,
winborn,Mississippi,Marshall,Winborn ,34.62027778,-89.31388889,Standing,record,https://flic.kr/s/aHBqjzBr6B,
yalobusha,Mississippi,Yalobusha,Yalobusha ,33.94527778,-89.64805556,Standing,record,https://flic.kr/s/aHBqjzBhds,
airey,Mississippi,Stone,Airey ,30.68888889,-89.06444444,Standing,record,,
moore,Mississippi,Scott,Moore ,32.32416667,-89.50527778,Standing,record,https://flic.kr/s/aHBqjzBpTv,
big-hill,Mississippi,Lamar,Big Hill ,31.00916667,-89.63944444,Standing,record,,
